Reservation_Status_Date,Assigned_Type_A_Count,Reserved_Type_A_Count
20/04/2015,1.0,1
20/04/2016,28.0,57
20/04/2017,16.0,20
20/05/2015,3.0,3
20/05/2016,12.0,22
20/05/2017,16.0,19
20/06/2016,15.0,19
20/06/2017,11.0,14
20/07/2015,27.0,39
20/07/2016,28.0,29
20/07/2017,14.0,18
20/08/2015,14.0,22
20/08/2016,15.0,21
20/08/2017,12.0,14
20/09/2015,9.0,11
20/09/2016,30.0,35
20/10/2015,6.0,18
20/10/2016,50.0,60
20/11/2015,36.0,45
20/11/2016,18.0,39
20/12/2015,3.0,18
20/12/2016,17.0,21
21/01/2015,91.0,91
21/01/2016,39.0,71
21/01/2017,15.0,18
21/02/2016,4.0,23
21/02/2017,23.0,46
21/03/2016,16.0,23
21/03/2017,20.0,28
21/04/2016,25.0,33
21/04/2017,13.0,21
21/05/2015,1.0,1
21/05/2016,12.0,16
21/05/2017,17.0,19
21/06/2016,40.0,46
21/06/2017,10.0,12
21/07/2015,15.0,18
21/07/2016,44.0,46
21/07/2017,16.0,16
21/08/2015,18.0,19
21/08/2016,22.0,22
21/08/2017,19.0,20
21/09/2015,33.0,48
21/09/2016,28.0,31
21/10/2015,9.0,30
21/10/2016,16.0,31
21/11/2015,7.0,21
21/11/2016,52.0,68
21/12/2015,3.0,6
21/12/2016,14.0,16
22/01/2015,4.0,4
22/01/2016,66.0,76
22/01/2017,15.0,25
22/02/2016,20.0,22
22/02/2017,30.0,39
22/03/2016,36.0,40
22/03/2017,6.0,15
22/04/2015,6.0,6
22/04/2016,14.0,17
22/04/2017,21.0,27
22/05/2015,3.0,3
22/05/2016,13.0,22
22/05/2017,32.0,40
22/06/2015,5.0,5
22/06/2016,31.0,36
22/06/2017,18.0,20
22/07/2015,12.0,13
22/07/2016,25.0,26
22/07/2017,12.0,13
22/08/2015,15.0,18
22/08/2016,23.0,26
22/08/2017,10.0,12
22/09/2015,7.0,10
22/09/2016,10.0,11
22/10/2015,11.0,28
22/10/2016,7.0,7
22/11/2015,16.0,77
22/11/2016,6.0,16
22/12/2015,7.0,19
22/12/2016,20.0,32
23/01/2016,10.0,21
23/01/2017,6.0,13
23/02/2015,1.0,1
23/02/2016,11.0,20
23/02/2017,29.0,37
23/03/2016,28.0,41
23/03/2017,29.0,49
23/04/2016,12.0,14
23/04/2017,26.0,33
23/05/2015,4.0,4
23/05/2016,10.0,14
23/05/2017,29.0,33
23/06/2015,3.0,3
23/06/2016,20.0,24
23/06/2017,16.0,22
23/07/2015,17.0,18
23/07/2016,20.0,24
23/07/2017,23.0,24
23/08/2015,14.0,17
23/08/2016,11.0,12
23/08/2017,12.0,13
23/09/2015,13.0,26
23/09/2016,33.0,37
23/10/2015,6.0,32
23/10/2016,14.0,32
23/11/2015,16.0,23
23/11/2016,17.0,37
23/12/2015,6.0,11
23/12/2016,20.0,24
24/01/2016,12.0,36
24/01/2017,23.0,33
24/02/2016,17.0,36
24/02/2017,20.0,33
24/03/2015,2.0,2
24/03/2016,55.0,69
24/03/2017,11.0,19
24/04/2015,1.0,1
24/04/2016,11.0,19
24/04/2017,17.0,26
24/05/2016,22.0,28
24/05/2017,17.0,23
24/06/2016,14.0,15
24/06/2017,19.0,20
24/07/2015,13.0,21
24/07/2016,20.0,23
24/07/2017,19.0,20
24/08/2015,18.0,21
24/08/2016,14.0,16
24/08/2017,16.0,17
24/09/2015,7.0,18
24/09/2016,10.0,8
24/10/2015,35.0,38
24/10/2016,54.0,59
24/11/2015,66.0,77
24/11/2016,4.0,27
24/12/2015,1.0,5
24/12/2016,14.0,16
25/01/2016,23.0,28
25/01/2017,26.0,37
25/02/2015,2.0,2
25/02/2016,20.0,48
25/02/2017,31.0,41
25/03/2015,2.0,2
25/03/2016,8.0,11
25/03/2017,7.0,9
25/04/2015,1.0,1
25/04/2016,35.0,44
25/04/2017,12.0,17
25/05/2016,25.0,31
25/05/2017,44.0,72
25/06/2015,2.0,2
25/06/2016,29.0,38
25/06/2017,10.0,15
25/07/2015,11.0,18
25/07/2016,16.0,20
25/07/2017,13.0,16
25/08/2015,9.0,13
25/08/2016,24.0,25
25/08/2017,12.0,12
25/09/2015,19.0,22
25/09/2016,33.0,42
25/10/2015,17.0,30
25/10/2016,24.0,25
25/11/2015,16.0,26
25/11/2016,17.0,37
25/12/2015,15.0,17
25/12/2016,4.0,5
26/01/2016,50.0,63
26/01/2017,26.0,47
26/02/2015,1.0,1
26/02/2016,10.0,32
26/02/2017,23.0,31
26/03/2016,9.0,11
26/03/2017,31.0,37
26/04/2016,35.0,40
26/04/2017,11.0,12
26/05/2015,1.0,1
26/05/2016,28.0,36
26/05/2017,6.0,11
26/06/2015,44.0,44
26/06/2016,26.0,32
26/06/2017,20.0,24
26/07/2015,16.0,23
26/07/2016,22.0,22
26/07/2017,11.0,13
26/08/2015,17.0,18
26/08/2016,21.0,22
26/08/2017,13.0,14
26/09/2015,10.0,13
26/09/2016,22.0,26
26/10/2015,35.0,50
26/10/2016,48.0,57
26/11/2015,20.0,30
26/11/2016,14.0,20
26/12/2015,11.0,21
26/12/2016,18.0,23
27/01/2016,8.0,31
27/01/2017,25.0,42
27/02/2016,15.0,24
27/02/2017,18.0,26
27/03/2016,55.0,67
27/03/2017,9.0,12
27/04/2016,20.0,25
27/04/2017,24.0,39
27/05/2015,6.0,6
27/05/2016,19.0,21
27/05/2017,16.0,18
